[2025-05-29 19:44:43.340] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2025-05-29 19:44:43.372] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2025-05-29 19:44:43.378] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2025-05-29 19:44:43.386] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2025-05-29 19:44:43.388] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2025-05-29 19:44:43.398] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2025-05-29 19:44:43.400] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2025-05-29 19:44:43.412] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2025-05-29 19:44:43.417] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2025-05-29 19:44:43.426] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2025-05-29 19:44:43.428] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2025-05-29 19:44:43.431] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":43}
[2025-05-29 19:44:43.434] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":43}
[2025-05-29 19:44:43.441] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":45}
[2025-05-29 19:44:43.441] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":45}
[2025-05-29 19:44:43.450] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":48}
[2025-05-29 19:44:43.451] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":48}
[2025-05-29 19:44:43.455] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":52}
[2025-05-29 19:44:43.456] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":52}
[2025-05-29 19:44:43.470] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":53}
[2025-05-29 19:44:43.470] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":53}
[2025-05-29 19:44:43.474] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":54}
[2025-05-29 19:44:43.475] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":54}
[2025-05-29 19:44:43.476] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":55}
[2025-05-29 19:44:43.477] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":55}
[2025-05-29 19:44:43.488] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":58}
[2025-05-29 19:44:43.488] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":58}
[2025-05-29 19:44:43.489] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":59}
[2025-05-29 19:44:43.490] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":59}
[2025-05-29 19:44:43.493] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":62}
[2025-05-29 19:44:43.493] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":62}
[2025-05-29 19:44:43.499] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2025-05-29 19:44:43.500] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2025-05-29 19:44:43.501] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":66}
[2025-05-29 19:44:43.501] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":66}
[2025-05-29 19:44:43.523] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":67}
[2025-05-29 19:44:43.524] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":67}
[2025-05-29 19:44:43.527] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":70}
[2025-05-29 19:44:43.528] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":70}
[2025-05-29 19:44:43.531] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":72}
[2025-05-29 19:44:43.532] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":72}
[2025-05-29 19:44:43.537] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":75}
[2025-05-29 19:44:43.538] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":75}
[2025-05-29 19:44:43.541] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2025-05-29 19:44:43.542] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2025-05-29 19:44:43.543] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":77}
[2025-05-29 19:44:43.544] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":77}
[2025-05-29 19:44:43.551] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":80}
[2025-05-29 19:44:43.554] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":80}
[2025-05-29 19:44:43.555] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":83}
[2025-05-29 19:44:43.556] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":83}
[2025-05-29 19:44:43.560] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":85}
[2025-05-29 19:44:43.561] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":85}
[2025-05-29 19:44:43.570] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":88}
[2025-05-29 19:44:43.571] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":88}
[2025-05-29 19:44:43.573] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":90}
[2025-05-29 19:44:43.574] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":90}
[2025-05-29 19:44:43.581] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2025-05-29 19:44:43.583] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2025-05-29 19:44:43.620] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":96}
[2025-05-29 19:44:43.621] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":96}
[2025-05-29 19:44:43.622] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2025-05-29 19:44:43.625] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2025-05-29 19:44:43.627] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
